date,country,week,cases,deaths,recovered,monitoring
2020-02-25,Brasil,9,0,0,,
2020-02-26,Brasil,9,1,0,,
2020-02-27,Brasil,9,1,0,,
2020-02-28,Brasil,9,1,0,,
2020-02-29,Brasil,9,2,0,,
2020-03-01,Brasil,10,2,0,,
2020-03-02,Brasil,10,2,0,,
2020-03-03,Brasil,10,2,0,,
2020-03-04,Brasil,10,3,0,,
2020-03-05,Brasil,10,7,0,,
2020-03-06,Brasil,10,13,0,,
2020-03-07,Brasil,10,19,0,,
2020-03-08,Brasil,11,25,0,,
2020-03-09,Brasil,11,25,0,,
2020-03-10,Brasil,11,34,0,,
2020-03-11,Brasil,11,52,0,,
2020-03-12,Brasil,11,77,0,,
2020-03-13,Brasil,11,98,0,,
2020-03-14,Brasil,11,121,0,,
2020-03-15,Brasil,12,200,0,,
2020-03-16,Brasil,12,234,0,,
2020-03-17,Brasil,12,291,1,,
2020-03-18,Brasil,12,428,4,,
2020-03-19,Brasil,12,621,6,,
2020-03-20,Brasil,12,904,11,,
2020-03-21,Brasil,12,1128,18,,
2020-03-22,Brasil,13,1546,25,,
2020-03-23,Brasil,13,1891,34,,
2020-03-24,Brasil,13,2201,46,,
2020-03-25,Brasil,13,2433,57,,
2020-03-26,Brasil,13,2915,77,,
2020-03-27,Brasil,13,3417,92,,
2020-03-28,Brasil,13,3903,114,,
2020-03-29,Brasil,14,4256,136,,
2020-03-30,Brasil,14,4579,159,,
2020-03-31,Brasil,14,5717,201,,
2020-04-01,Brasil,14,6834,241,,
2020-04-02,Brasil,14,7910,299,,
2020-04-03,Brasil,14,9056,359,,
2020-04-04,Brasil,14,10278,432,,
2020-04-05,Brasil,15,11130,486,,
2020-04-06,Brasil,15,12056,553,,
2020-04-07,Brasil,15,13717,667,,
2020-04-08,Brasil,15,15927,800,,
2020-04-09,Brasil,15,17857,941,,
2020-04-10,Brasil,15,19638,1056,,
2020-04-11,Brasil,15,20727,1124,,
2020-04-12,Brasil,16,22169,1223,,
2020-04-13,Brasil,16,23430,1328,,
2020-04-14,Brasil,16,25262,1532,,
2020-04-15,Brasil,16,28320,1736,,
2020-04-16,Brasil,16,30425,1924,,
2020-04-17,Brasil,16,33682,2141,,
2020-04-18,Brasil,16,36599,2347,,
2020-04-19,Brasil,17,38654,2462,22130.0,14062.0
2020-04-20,Brasil,17,40581,2575,22991.0,15015.0
2020-04-21,Brasil,17,43079,2741,24325.0,16013.0
2020-04-22,Brasil,17,45757,2906,25318.0,17533.0
2020-04-23,Brasil,17,49492,3313,26573.0,19606.0
2020-04-24,Brasil,17,52995,3670,27655.0,21670.0
2020-04-25,Brasil,17,58509,4016,29160.0,25333.0
2020-04-26,Brasil,18,61888,4205,30152.0,27531.0
2020-04-27,Brasil,18,66501,4543,31142.0,30816.0
2020-04-28,Brasil,18,71886,5017,32544.0,34325.0
2020-04-29,Brasil,18,78162,5466,34132.0,38564.0
2020-04-30,Brasil,18,85380,5901,35935.0,43544.0
2020-05-01,Brasil,18,91299,6329,38039.0,47221.0
2020-05-02,Brasil,18,96396,6724,40937.0,48872.0
2020-05-03,Brasil,19,101147,7025,42991.0,51131.0
2020-05-04,Brasil,19,107780,7321,45186.0,55273.0
2020-05-05,Brasil,19,114715,7921,48221.0,58573.0
2020-05-06,Brasil,19,125218,8535,51370.0,65312.0
2020-05-07,Brasil,19,135106,9146,55350.0,70610.0
2020-05-08,Brasil,19,145328,9895,59297.0,76134.0
2020-05-09,Brasil,19,155939,10627,61685.0,83627.0
2020-05-10,Brasil,20,162699,11123,64957.0,86619.0
2020-05-11,Brasil,20,168331,11519,67384.0,89429.0
2020-05-12,Brasil,20,177589,12400,72597.0,92593.0
2020-05-13,Brasil,20,188974,13149,78424.0,97402.0
2020-05-14,Brasil,20,202918,13993,79479.0,109446.0
2020-05-15,Brasil,20,218223,14817,84970.0,118436.0
2020-05-16,Brasil,20,233142,15633,89672.0,127837.0
2020-05-17,Brasil,21,241080,16118,94122.0,130840.0
2020-05-18,Brasil,21,254220,16792,100459.0,136969.0
2020-05-19,Brasil,21,271628,17971,106794.0,146863.0
2020-05-20,Brasil,21,291579,18859,116683.0,156037.0
2020-05-21,Brasil,21,310087,20047,125960.0,164080.0
2020-05-22,Brasil,21,330890,21046,135430.0,174412.0
2020-05-23,Brasil,21,347398,22013,142587.0,182798.0
2020-05-24,Brasil,22,363211,22666,149911.0,190634.0
2020-05-25,Brasil,22,374898,23473,153833.0,197592.0
2020-05-26,Brasil,22,391222,24512,158593.0,208117.0
2020-05-27,Brasil,22,411821,25598,166647.0,219576.0
2020-05-28,Brasil,22,438238,26754,177604.0,233880.0
2020-05-29,Brasil,22,465166,27878,189476.0,247812.0
2020-05-30,Brasil,22,498440,28834,200892.0,268714.0
2020-05-31,Brasil,23,514200,29314,206555.0,278331.0
2020-06-01,Brasil,23,526447,29937,211080.0,285430.0
2020-06-02,Brasil,23,555383,31199,223638.0,300546.0
2020-06-03,Brasil,23,584016,32548,238617.0,312851.0
2020-06-04,Brasil,23,614941,34021,254963.0,325957.0
2020-06-05,Brasil,23,645771,35026,266940.0,343805.0
2020-06-06,Brasil,23,672846,35930,277149.0,359767.0
2020-06-07,Brasil,24,691758,36455,283952.0,371351.0
2020-06-08,Brasil,24,707412,37134,290040.0,380238.0
2020-06-09,Brasil,24,739503,38406,311064.0,390033.0
2020-06-10,Brasil,24,772416,39680,325395.0,407341.0
2020-06-11,Brasil,24,802828,40919,345595.0,416314.0
2020-06-12,Brasil,24,828810,41828,365063.0,421919.0
2020-06-13,Brasil,24,850514,42720,379245.0,428549.0
2020-06-14,Brasil,25,867624,43332,388492.0,435800.0
2020-06-15,Brasil,25,888271,43959,412252.0,432060.0
2020-06-16,Brasil,25,923189,45241,441729.0,436219.0
2020-06-17,Brasil,25,955377,46510,463474.0,445393.0
