city,city_ibge_code,date,estimated_population_2019,is_repeated,is_last,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,place_type,state,new_confirmed,new_deaths
São Paulo,3550308,2020-02-25,12252023,False,False,1,0.00816,2020-02-25,,0,city,SP,0,0
,35,2020-02-25,45919049,False,False,1,0.00218,2020-02-25,,0,state,SP,0,0
São Paulo,3550308,2020-02-26,12252023,False,False,1,0.00816,2020-02-26,,0,city,SP,0,0
,35,2020-02-26,45919049,False,False,1,0.00218,2020-02-26,,0,state,SP,0,0
São Paulo,3550308,2020-02-27,12252023,False,False,1,0.00816,2020-02-27,,0,city,SP,0,0
,35,2020-02-27,45919049,False,False,1,0.00218,2020-02-27,,0,state,SP,0,0
São Paulo,3550308,2020-02-28,12252023,False,False,2,0.01632,2020-02-28,,0,city,SP,1,0
,35,2020-02-28,45919049,False,False,2,0.00436,2020-02-28,,0,state,SP,1,0
São Paulo,3550308,2020-02-29,12252023,False,False,2,0.01632,2020-02-29,,0,city,SP,0,0
,35,2020-02-29,45919049,False,False,2,0.00436,2020-02-29,,0,state,SP,0,0
São Paulo,3550308,2020-03-01,12252023,False,False,2,0.01632,2020-03-01,,0,city,SP,0,0
,35,2020-03-01,45919049,False,False,2,0.00436,2020-03-01,,0,state,SP,0,0
São Paulo,3550308,2020-03-02,12252023,False,False,2,0.01632,2020-03-02,,0,city,SP,0,0
,35,2020-03-02,45919049,False,False,2,0.00436,2020-03-02,,0,state,SP,0,0
São Paulo,3550308,2020-03-03,12252023,False,False,2,0.01632,2020-03-03,,0,city,SP,0,0
,35,2020-03-03,45919049,False,False,2,0.00436,2020-03-03,,0,state,SP,0,0
São Paulo,3550308,2020-03-04,12252023,False,False,3,0.02449,2020-03-04,,0,city,SP,1,0
,35,2020-03-04,45919049,False,False,3,0.00653,2020-03-04,,0,state,SP,1,0
Barra Mansa,3300407,2020-03-05,184412,False,False,1,0.54226,2020-03-05,,0,city,RJ,1,0
São Paulo,3550308,2020-03-05,12252023,False,False,6,0.04897,2020-03-05,,0,city,SP,3,0
,32,2020-03-05,4018650,False,False,1,0.02488,2020-03-05,,0,state,ES,1,0
,33,2020-03-05,17264943,False,False,1,0.00579,2020-03-05,,0,state,RJ,1,0
,35,2020-03-05,45919049,False,False,6,0.01307,2020-03-05,,0,state,SP,3,0
Feira de Santana,2910800,2020-03-06,614872,False,False,1,0.16264,2020-03-06,,0,city,BA,1,0
Barra Mansa,3300407,2020-03-06,184412,False,False,1,0.54226,2020-03-06,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-06,6718903,False,False,1,0.01488,2020-03-06,,0,city,RJ,1,0
São Paulo,3550308,2020-03-06,12252023,True,False,6,0.04897,2020-03-05,,0,city,SP,0,0
,29,2020-03-06,14873064,False,False,1,0.00672,2020-03-06,,0,state,BA,1,0
,32,2020-03-06,4018650,False,False,1,0.02488,2020-03-06,,0,state,ES,0,0
,33,2020-03-06,17264943,False,False,2,0.01158,2020-03-06,,0,state,RJ,1,0
,35,2020-03-06,45919049,False,False,10,0.02178,2020-03-06,,0,state,SP,4,0
Feira de Santana,2910800,2020-03-07,614872,False,False,2,0.32527,2020-03-07,,0,city,BA,1,0
Brasília,5300108,2020-03-07,3015268,False,False,1,0.03316,2020-03-07,,0,city,DF,1,0
Barra Mansa,3300407,2020-03-07,184412,True,False,1,0.54226,2020-03-06,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-07,6718903,True,False,1,0.01488,2020-03-06,,0,city,RJ,0,0
Santana de Parnaíba,3547304,2020-03-07,139447,False,False,1,0.71712,2020-03-07,,0,city,SP,1,0
São Paulo,3550308,2020-03-07,12252023,False,False,12,0.09794,2020-03-07,,0,city,SP,6,0
,29,2020-03-07,14873064,False,False,2,0.01345,2020-03-07,,0,state,BA,1,0
,53,2020-03-07,3015268,False,False,1,0.03316,2020-03-07,,0,state,DF,1,0
,32,2020-03-07,4018650,False,False,1,0.02488,2020-03-07,,0,state,ES,0,0
,33,2020-03-07,17264943,True,False,2,0.01158,2020-03-06,,0,state,RJ,0,0
,35,2020-03-07,45919049,False,False,13,0.02831,2020-03-07,,0,state,SP,3,0
Maceió,2704302,2020-03-08,1018948,False,False,1,0.09814,2020-03-08,,0,city,AL,1,0
Feira de Santana,2910800,2020-03-08,614872,True,False,2,0.32527,2020-03-07,,0,city,BA,0,0
Brasília,5300108,2020-03-08,3015268,False,False,1,0.03316,2020-03-08,,0,city,DF,0,0
Divinópolis,3122306,2020-03-08,238230,False,False,1,0.41976,2020-03-08,,0,city,MG,1,0
Barra Mansa,3300407,2020-03-08,184412,False,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-08,6718903,False,False,2,0.02977,2020-03-08,,0,city,RJ,1,0
Santana de Parnaíba,3547304,2020-03-08,139447,False,False,1,0.71712,2020-03-08,,0,city,SP,0,0
São Paulo,3550308,2020-03-08,12252023,False,False,15,0.12243,2020-03-08,,0,city,SP,3,0
,27,2020-03-08,3337357,False,False,1,0.02996,2020-03-08,,0,state,AL,1,0
,29,2020-03-08,14873064,True,False,2,0.01345,2020-03-07,,0,state,BA,0,0
,53,2020-03-08,3015268,False,False,1,0.03316,2020-03-08,,0,state,DF,0,0
,32,2020-03-08,4018650,False,False,1,0.02488,2020-03-08,,0,state,ES,0,0
,31,2020-03-08,21168791,False,False,1,0.00472,2020-03-08,,0,state,MG,1,0
,33,2020-03-08,17264943,False,False,3,0.01738,2020-03-08,,0,state,RJ,1,0
,35,2020-03-08,45919049,False,False,16,0.03484,2020-03-08,,0,state,SP,3,0
Maceió,2704302,2020-03-09,1018948,False,False,1,0.09814,2020-03-09,,0,city,AL,0,0
Feira de Santana,2910800,2020-03-09,614872,False,False,2,0.32527,2020-03-09,,0,city,BA,0,0
Brasília,5300108,2020-03-09,3015268,False,False,1,0.03316,2020-03-09,,0,city,DF,0,0
Divinópolis,3122306,2020-03-09,238230,False,False,1,0.41976,2020-03-09,,0,city,MG,0,0
Barra Mansa,3300407,2020-03-09,184412,True,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-09,6718903,True,False,2,0.02977,2020-03-08,,0,city,RJ,0,0
Santana de Parnaíba,3547304,2020-03-09,139447,False,False,1,0.71712,2020-03-09,,0,city,SP,0,0
